distance_km,transport_mode,driver_availability,week,surge_multiplier,traffic,pickup_hour,fare_price,pickup_address_encoded,drop_address_encoded
8.1,3,2,6,1.2,2,21,177,389.7037037037037,340.7291666666667
15.6,3,2,4,1.2,2,12,285,552.9821428571429,367.375
8.4,1,0,6,1.0,2,16,70,444.61538461538464,395.2
20.8,0,0,1,1.0,1,12,342,332.2325581395349,404.7058823529412
22.7,0,0,5,1.0,2,17,370,405.86046511627904,361.4827586206897
23.6,0,1,0,2.2,0,13,845,409.0,331.1162790697674
11.7,4,2,6,1.3,1,22,378,384.8181818181818,439.5882352941176
13.9,3,2,2,1.4,0,19,304,345.1081081081081,350.45454545454544
11.7,0,2,4,1.2,2,7,247,304.5,294.825
6.8,4,0,2,1.0,1,22,202,388.3589743589744,354.1764705882353
28.1,3,1,6,2.4,0,19,929,552.9821428571429,472.1935483870968
23.2,2,0,5,1.0,2,8,272,449.3529411764706,331.2888888888889
33.7,3,2,5,1.4,1,23,636,349.43333333333334,439.1333333333333
5.4,3,2,2,1.4,2,8,161,490.6923076923077,405.0487804878049
13.2,1,2,0,1.5,2,12,149,401.76666666666665,320.2857142857143
28.5,3,0,0,1.0,2,6,392,351.4146341463415,473.54285714285714
6.9,2,0,6,1.0,2,14,109,403.1315789473685,266.6585365853659
16.1,4,2,0,1.3,2,1,481,467.6842105263158,325.12820512820514
7.6,3,2,4,1.2,2,11,169,297.5625,369.1538461538461
5.6,0,1,0,1.5,0,9,171,326.09375,313.0
24.6,0,2,4,1.1,2,19,439,482.4285714285714,320.2857142857143
17.6,3,2,6,1.3,0,11,340,374.12820512820514,389.35849056603774
14.6,2,0,5,1.0,1,4,186,508.2608695652174,422.0208333333333
37.8,0,1,5,1.5,0,9,896,417.1555555555556,486.8139534883721
14.5,0,0,0,1.0,1,21,248,412.1785714285714,482.0
20.3,0,2,4,1.3,2,14,435,352.28125,515.6875
13.0,3,0,1,1.0,1,4,206,347.8666666666667,395.27272727272725
22.6,2,0,3,1.0,1,22,266,403.47222222222223,350.45454545454544
25.5,3,0,3,1.0,1,4,356,404.04545454545456,442.8529411764706
28.5,2,0,1,1.0,1,1,325,516.219512195122,395.6285714285714
8.7,4,2,5,1.2,1,22,284,326.44736842105266,319.97727272727275
15.3,2,2,2,1.3,2,13,251,328.2857142857143,445.55263157894734
30.4,0,1,5,2.3,0,8,1118,318.6222222222222,500.0377358490566
15.3,0,0,3,1.0,1,21,260,493.2631578947368,355.57142857142856
33.5,2,2,2,1.2,1,1,450,357.8,439.9583333333333
38.5,0,2,4,1.2,2,8,729,575.2105263157895,398.2916666666667
16.8,3,0,0,1.0,1,0,252,326.44736842105266,452.0769230769231
10.6,0,0,1,1.0,2,13,189,304.5,525.3055555555555
25.9,3,0,4,1.0,1,0,361,325.9736842105263,452.0769230769231
21.1,3,1,4,2.3,0,19,697,320.6530612244898,482.0
16.8,4,1,0,2.4,0,17,918,286.2352941176471,357.30232558139534
18.4,0,0,0,1.0,1,0,306,325.8536585365854,354.1764705882353
32.5,2,0,6,1.0,1,11,365,482.4285714285714,374.2702702702703
30.7,2,0,0,1.0,1,23,347,525.2916666666666,348.2432432432432
12.5,2,2,2,1.4,1,1,231,319.8888888888889,331.1162790697674
26.2,0,0,2,1.0,1,7,423,371.9411764705882,445.55263157894734
9.5,0,2,1,1.2,2,23,207,326.09375,349.8181818181818
24.3,0,2,2,1.1,2,16,434,345.1081081081081,474.77777777777777
33.2,1,2,0,1.3,1,23,285,351.4807692307692,482.0
4.7,2,2,3,1.2,2,19,104,300.6666666666667,345.3414634146341
11.5,0,1,6,1.6,0,13,324,357.65714285714284,313.5777777777778
21.6,2,2,3,1.4,2,20,358,375.7368421052632,331.1162790697674
9.6,0,1,2,2.2,0,18,383,322.09302325581393,469.1666666666667
28.5,1,2,1,1.2,2,12,229,449.3529411764706,468.45
12.7,0,1,6,1.8,0,9,397,402.9,398.2916666666667
12.0,1,1,4,2.5,0,18,230,341.7,332.1142857142857
23.8,0,2,5,1.4,2,16,542,390.8571428571428,389.35849056603774
27.6,0,2,4,1.3,2,4,577,382.8684210526316,355.57142857142856
6.2,0,0,1,1.0,2,16,123,361.9142857142857,395.27272727272725
35.9,2,1,2,2.0,0,19,798,407.9117647058824,467.3142857142857
35.4,2,2,6,1.2,2,14,473,384.8181818181818,432.3125
7.7,3,0,0,1.0,2,13,142,508.1818181818182,349.8181818181818
29.4,1,0,1,1.0,1,5,196,507.2619047619048,311.96774193548384
13.1,0,1,3,2.4,0,19,544,330.8421052631579,486.8139534883721
8.7,3,2,2,1.3,2,9,201,417.1555555555556,381.6744186046512
2.7,2,2,6,1.2,2,12,80,417.27777777777777,423.2368421052632
42.3,2,0,3,1.0,1,0,463,445.1333333333333,439.5882352941176
25.3,2,0,2,1.0,2,3,293,386.7608695652174,304.6829268292683
17.4,0,2,0,1.4,0,8,407,386.2,499.4358974358975
29.5,0,2,5,1.3,2,8,614,382.9024390243902,294.825
23.6,0,1,6,2.2,0,20,845,402.9,343.5833333333333
20.3,3,0,3,1.0,1,15,294,418.2173913043478,421.1463414634146
34.0,0,0,5,1.0,1,5,540,505.85,405.8222222222222
12.9,2,2,0,1.2,2,10,203,330.8421052631579,410.68
19.4,2,0,3,1.0,1,5,234,328.2857142857143,361.97222222222223
24.3,3,1,0,1.7,0,17,581,352.48387096774195,410.27272727272725
19.5,2,2,0,1.1,2,14,258,447.6315789473685,381.4516129032258
10.8,2,2,6,1.4,1,13,207,490.6923076923077,325.12820512820514
10.3,0,0,4,1.0,1,14,184,300.6666666666667,340.7291666666667
24.4,0,1,1,2.1,0,17,832,308.6938775510204,458.39473684210526
15.1,3,0,1,1.0,1,7,231,386.7608695652174,369.9736842105263
38.4,3,0,6,1.0,1,22,511,552.9821428571429,442.8529411764706
12.9,0,0,3,1.0,2,3,224,360.6136363636364,379.65
23.4,3,0,3,1.0,1,4,331,344.9111111111111,437.46
8.7,0,0,6,1.0,2,14,160,297.5625,382.61764705882354
6.1,4,0,5,1.0,2,22,190,448.575,470.4864864864865
26.9,2,2,1,1.4,1,16,433,297.5625,470.4864864864865
12.0,3,1,5,2.3,0,18,446,449.3529411764706,405.8222222222222
25.3,3,0,0,1.0,1,1,354,349.43333333333334,405.0487804878049
20.8,3,1,1,2.1,0,18,629,351.4807692307692,346.81081081081084
9.9,3,2,1,1.2,2,13,203,351.4146341463415,320.2857142857143
31.2,4,1,2,1.8,0,17,1155,376.1842105263158,474.77777777777777
31.5,3,2,4,1.4,2,15,599,404.04545454545456,364.4772727272728
14.9,2,1,3,2.1,0,11,397,367.2972972972973,343.7333333333333
38.5,3,0,0,1.0,2,8,512,552.9821428571429,410.27272727272725
6.3,3,0,3,1.0,1,22,126,347.075,367.375
4.3,3,0,5,1.0,1,4,102,335.8837209302326,412.0888888888889
31.4,0,1,5,1.6,0,9,802,457.6410256410256,443.44444444444446
22.3,2,2,2,1.3,2,6,342,374.12820512820514,378.22222222222223
5.1,0,0,4,1.0,1,14,106,371.9411764705882,407.54545454545456
16.8,2,0,0,1.0,1,4,208,356.96875,467.3142857142857
17.8,0,2,0,1.2,2,1,356,367.2972972972973,437.46
29.9,2,1,3,1.8,0,8,610,293.531914893617,476.1351351351352
30.2,3,1,0,2.1,0,20,866,339.79487179487177,557.1666666666666
4.6,2,0,5,1.0,2,4,86,304.5,410.27272727272725
13.4,2,0,0,1.0,2,4,174,318.6222222222222,304.6829268292683
23.4,4,2,3,1.4,2,14,702,345.2105263157895,432.3125
18.4,4,2,2,1.4,1,2,576,457.6410256410256,314.8863636363636
8.0,0,2,2,1.4,2,1,210,405.86046511627904,338.7179487179488
20.4,0,1,6,1.8,0,19,605,330.8421052631579,367.375
9.3,0,1,2,1.7,0,9,288,351.4807692307692,340.7291666666667
6.7,0,0,2,1.0,2,17,130,319.8888888888889,314.8863636363636
31.5,2,2,6,1.4,2,22,497,349.6046511627907,463.4651162790698
15.4,2,2,4,1.2,2,22,233,303.22857142857146,399.5263157894737
12.3,0,1,0,2.3,0,8,493,397.9787234042553,379.65
23.5,3,0,1,1.0,1,22,332,404.04545454545456,407.54545454545456
3.2,0,2,5,1.1,2,15,86,460.24,395.27272727272725
5.2,3,2,5,1.3,2,9,146,446.37142857142857,389.35849056603774
20.7,0,2,1,1.3,2,23,443,368.7307692307692,389.20454545454544
12.4,0,2,6,1.2,2,17,259,318.6222222222222,437.46
25.9,1,0,1,1.0,2,4,175,434.8157894736842,463.9189189189189
18.7,3,2,0,1.3,0,10,357,467.7714285714285,331.2888888888889
15.2,2,2,5,1.5,2,9,288,386.2,345.3414634146341
42.6,2,2,0,1.2,2,21,559,516.219512195122,463.9189189189189
24.3,3,2,5,1.3,0,8,444,347.075,413.28205128205127
42.6,3,2,2,1.4,2,19,786,448.575,468.45
28.5,4,1,2,2.3,0,10,1364,401.76666666666665,452.0769230769231
21.5,0,2,1,1.3,1,21,458,473.6571428571429,311.96774193548384
6.8,0,2,5,1.4,1,2,185,493.2631578947368,464.4324324324325
6.2,0,0,1,1.0,1,21,123,417.1555555555556,363.5405405405405
6.8,2,0,1,1.0,1,1,108,444.61538461538464,382.61764705882354
28.3,1,0,3,1.0,1,23,190,333.6744186046512,353.64102564102564
30.3,0,0,6,1.0,1,14,484,389.7037037037037,500.0377358490566
21.9,2,2,1,1.2,2,14,311,374.12820512820514,452.0769230769231
18.0,3,0,0,1.0,1,7,266,444.61538461538464,331.2888888888889
36.9,2,2,5,1.3,2,14,532,483.5882352941176,387.1627906976744
28.6,2,0,6,1.0,1,13,326,448.575,294.825
13.7,0,0,5,1.0,2,19,236,286.2352941176471,361.97222222222223
20.6,3,2,5,1.1,2,16,327,375.225,361.4827586206897
34.3,0,0,2,1.0,1,3,544,409.0,557.1666666666666
9.7,2,1,0,1.8,0,20,247,374.12820512820514,325.12820512820514
21.2,1,1,0,1.6,0,17,236,444.61538461538464,351.8333333333333
28.0,3,1,4,1.8,0,17,695,433.75757575757575,385.5869565217391
7.2,1,2,5,1.5,0,10,95,402.9,351.8333333333333
29.3,3,2,3,1.2,2,16,482,444.61538461538464,389.35849056603774
7.7,3,1,4,1.6,0,20,228,325.9736842105263,338.7179487179488
13.6,3,2,3,1.5,1,3,320,297.5625,351.8333333333333
30.6,0,2,4,1.5,2,16,734,364.575,349.8181818181818
16.1,0,0,5,1.0,2,15,272,324.1714285714286,378.22222222222223
21.0,2,0,1,1.0,1,5,250,353.3125,412.0888888888889
18.8,0,0,1,1.0,2,2,312,364.575,369.0
23.1,4,0,4,1.0,2,16,496,371.9411764705882,357.7317073170732
11.9,0,1,6,2.5,0,19,521,403.1315789473685,405.5
15.1,2,2,4,1.5,0,10,286,445.1333333333333,364.4772727272728
25.7,2,1,4,2.2,0,18,653,482.4285714285714,381.4516129032258
35.0,0,0,4,1.0,1,15,555,369.2702702702703,500.3225806451613
6.2,0,1,3,1.9,0,11,234,421.3142857142857,353.64102564102564
34.2,1,0,2,1.0,2,15,225,403.47222222222223,422.625
37.2,0,2,1,1.4,0,16,823,364.575,486.8139534883721
29.2,3,2,2,1.3,0,20,521,483.5882352941176,313.5777777777778
20.1,0,1,2,1.9,0,19,630,418.2173913043478,437.46
9.2,2,0,2,1.0,1,21,132,286.2352941176471,294.825
9.8,1,1,1,1.6,0,13,126,322.09302325581393,422.0208333333333
6.5,2,0,6,1.0,1,7,105,322.09302325581393,355.57142857142856
38.5,3,0,3,1.0,1,0,512,384.8181818181818,433.80555555555554
18.4,0,2,3,1.5,2,12,459,351.4146341463415,398.2916666666667
11.7,0,2,1,1.3,1,1,267,353.3125,439.9583333333333
26.2,3,1,5,2.1,0,20,765,371.8684210526316,374.2702702702703
33.1,0,2,5,1.5,2,12,790,525.2916666666666,452.0769230769231
22.6,4,0,5,1.0,1,4,487,326.09375,405.5
14.6,2,1,0,2.0,0,9,372,457.6410256410256,369.0
13.6,2,2,4,1.4,0,20,246,318.6222222222222,381.4516129032258
13.8,0,2,5,1.2,2,19,284,300.6666666666667,376.4047619047619
13.1,0,2,4,1.1,2,15,249,407.9117647058824,384.6315789473685
14.6,4,1,6,1.9,0,10,651,405.86046511627904,353.64102564102564
24.7,3,0,4,1.0,1,5,346,409.0,378.22222222222223
21.9,3,0,3,1.0,1,22,313,457.6410256410256,352.875
26.2,3,1,1,2.0,0,20,729,493.2631578947368,441.96875
13.6,0,1,4,2.0,0,20,468,345.2105263157895,319.97727272727275
30.8,0,0,3,1.0,1,5,492,571.1764705882352,357.30232558139534
12.2,2,0,3,1.0,1,3,162,330.8421052631579,373.9318181818182
23.3,3,2,3,1.1,2,14,363,513.0652173913044,331.1162790697674
35.4,4,2,0,1.1,0,17,789,476.2439024390244,428.28205128205127
16.6,0,2,1,1.1,0,9,307,322.09302325581393,422.625
29.1,0,1,1,2.3,0,19,1073,375.225,486.8139534883721
3.5,0,0,2,1.0,1,22,82,371.8684210526316,382.61764705882354
5.1,0,0,3,1.0,1,11,106,446.37142857142857,413.28205128205127
13.5,3,2,1,1.3,0,17,276,297.5625,422.625
16.0,2,0,1,1.0,1,7,200,328.2857142857143,433.03225806451616
23.3,2,2,3,1.1,2,17,300,513.0652173913044,340.7291666666667
24.9,0,2,5,1.2,1,2,484,353.3125,355.57142857142856
4.2,0,1,5,2.1,0,19,195,448.575,469.1666666666667
10.4,3,0,4,1.0,1,16,175,390.8571428571428,435.8
26.4,3,0,4,1.0,1,6,367,404.04545454545456,405.0487804878049
26.5,2,0,4,1.0,1,23,305,382.9024390243902,313.0
4.4,2,2,5,1.5,0,17,126,483.5882352941176,418.71875
17.8,4,2,3,1.3,0,20,521,446.37142857142857,557.1666666666666
26.9,0,0,4,1.0,1,2,434,334.42,449.5
21.8,1,0,1,1.0,1,5,151,308.6938775510204,338.7179487179488
13.0,0,2,5,1.1,0,19,248,401.3863636363636,343.5833333333333
19.3,0,0,4,1.0,1,0,320,376.1842105263158,449.5
9.3,3,0,4,1.0,1,7,162,357.65714285714284,442.8529411764706
32.4,0,2,3,1.4,2,6,722,483.5882352941176,474.77777777777777
17.6,3,2,4,1.3,2,11,340,404.04545454545456,362.40625
16.2,2,0,6,1.0,1,0,202,409.0,382.61764705882354
26.2,2,0,4,1.0,1,6,302,512.3111111111111,373.9318181818182
23.0,1,1,2,2.4,0,17,379,330.8421052631579,441.96875
27.2,2,1,2,1.8,0,10,562,394.4565217391304,379.65
8.5,0,0,3,1.0,2,14,158,319.8888888888889,348.2432432432432
31.9,0,2,0,1.4,2,11,712,473.6571428571429,412.0888888888889
12.9,2,0,2,1.0,1,23,169,412.5,357.7317073170732
19.1,0,2,4,1.2,0,17,380,293.531914893617,486.0625
11.8,0,2,5,1.3,2,14,269,447.6315789473685,349.8181818181818
27.5,3,0,6,1.0,1,23,380,491.0857142857143,395.6285714285714
3.2,3,2,5,1.2,2,10,106,371.9411764705882,500.0377358490566
15.1,0,0,1,1.0,1,1,256,456.9142857142857,363.5405405405405
21.3,0,2,0,1.1,0,19,384,351.4807692307692,439.5882352941176
15.0,1,0,2,1.0,1,15,110,505.85,313.5777777777778
14.8,0,0,0,1.0,1,4,252,351.82978723404256,325.2105263157895
33.8,0,0,1,1.0,2,13,537,386.7608695652174,445.55263157894734
21.2,0,1,2,1.9,0,8,661,430.7368421052632,338.7179487179488
19.0,0,0,6,1.0,1,3,315,356.96875,433.80555555555554
33.0,2,0,1,1.0,1,23,370,347.8666666666667,439.9583333333333
17.5,0,0,0,1.0,1,2,292,374.12820512820514,363.5405405405405
24.3,2,0,4,1.0,1,5,283,490.6923076923077,404.7058823529412
11.2,2,2,3,1.4,1,5,213,351.82978723404256,387.1627906976744
10.6,3,2,1,1.4,2,18,248,334.42,304.6829268292683
6.9,0,2,0,1.1,0,18,147,352.75925925925924,458.39473684210526
3.7,2,0,1,1.0,1,22,77,347.075,343.7333333333333
20.5,3,2,5,1.4,0,18,414,404.04545454545456,366.8484848484849
7.5,3,0,1,1.0,2,11,140,333.9,299.16279069767444
40.3,3,2,0,1.4,1,3,747,571.1764705882352,379.65
6.2,0,0,1,1.0,1,6,123,424.9230769230769,387.1627906976744
29.4,3,0,2,1.0,2,14,403,433.4242424242424,363.5405405405405
9.8,0,2,3,1.3,1,7,230,473.6571428571429,452.0769230769231
12.7,3,2,5,1.4,2,5,283,344.9111111111111,266.6585365853659
32.8,3,0,4,1.0,1,6,444,508.1818181818182,376.4047619047619
7.1,3,1,1,1.7,0,9,230,404.04545454545456,463.54285714285714
41.4,3,2,0,1.1,0,9,601,575.2105263157895,351.8333333333333
17.0,0,2,5,1.3,2,18,370,303.22857142857146,383.2745098039216
32.1,0,0,0,1.0,1,1,512,384.8181818181818,421.1463414634146
9.6,4,0,0,1.0,1,2,253,397.9787234042553,299.16279069767444
13.6,3,0,1,1.0,2,9,213,369.2702702702703,381.4516129032258
37.5,2,2,0,1.3,2,6,540,505.85,463.4651162790698
22.4,1,1,4,2.2,0,8,340,352.75925925925924,463.4651162790698
22.3,3,0,2,1.0,2,16,318,341.7,352.875
30.8,0,0,0,1.0,1,7,492,507.2619047619048,442.8529411764706
18.8,2,2,0,1.5,2,3,342,320.6530612244898,387.1627906976744
10.8,2,2,0,1.3,0,18,192,351.82978723404256,458.39473684210526
11.6,3,2,6,1.2,1,4,227,418.2173913043478,432.3125
20.0,0,1,5,1.9,0,18,627,505.85,345.53333333333336
23.7,3,1,2,2.4,0,17,803,552.9821428571429,410.68
16.1,0,2,2,1.1,2,14,299,324.1714285714286,418.71875
16.5,3,2,6,1.3,2,15,322,333.6744186046512,422.625
21.9,1,0,5,1.0,2,13,151,473.6571428571429,467.3142857142857
23.9,3,2,6,1.3,2,16,438,382.8684210526316,468.45
30.8,0,0,4,1.0,1,5,492,335.8837209302326,472.1935483870968
15.6,0,0,5,1.0,1,13,264,386.2,468.45
16.3,1,0,2,1.0,1,2,118,320.9714285714286,463.54285714285714
31.2,0,2,6,1.5,1,7,747,483.5882352941176,353.64102564102564
9.4,2,2,4,1.2,2,13,161,448.575,452.0769230769231
31.4,3,0,6,1.0,1,0,427,513.0652173913044,557.1666666666666
25.0,2,1,3,2.4,0,8,696,420.9411764705882,463.9189189189189
6.9,3,1,1,1.9,0,20,252,322.09302325581393,441.96875
31.9,1,2,1,1.5,2,13,317,375.7368421052632,418.71875
29.8,3,2,4,1.2,1,6,489,512.3111111111111,412.0888888888889
13.8,4,2,0,1.2,0,18,394,319.8888888888889,364.4772727272728
29.0,0,0,1,1.0,1,23,465,490.6923076923077,399.5263157894737
32.5,3,2,0,1.1,1,22,484,360.6136363636364,486.8139534883721
31.5,2,2,0,1.4,1,1,497,376.1842105263158,500.3225806451613
25.8,0,1,6,1.7,0,9,709,320.9714285714286,407.54545454545456
20.8,0,2,5,1.4,1,7,479,349.6046511627907,410.68
42.4,1,0,6,1.0,1,2,274,334.42,499.4358974358975
27.2,3,2,1,1.2,2,9,452,345.2105263157895,557.1666666666666
32.4,2,2,5,1.3,2,5,473,512.3111111111111,362.6969696969697
28.1,3,2,6,1.2,2,6,465,358.61764705882354,357.7317073170732
9.3,3,2,6,1.4,2,15,226,367.2972972972973,319.97727272727275
19.1,3,1,5,2.3,0,10,642,403.1315789473685,343.5833333333333
35.1,0,2,4,1.1,2,8,612,552.9821428571429,338.7179487179488
9.3,3,0,3,1.0,1,22,162,368.7307692307692,357.30232558139534
22.6,0,1,2,2.1,0,10,775,386.2,364.4772727272728
21.1,0,2,6,1.3,2,12,450,357.65714285714284,331.2888888888889
23.4,2,0,0,1.0,2,6,274,525.2916666666666,313.5777777777778
15.6,2,1,3,2.4,0,19,470,352.28125,422.0208333333333
30.3,3,0,0,1.0,1,7,414,422.7142857142857,313.5777777777778
12.5,4,2,1,1.3,1,21,396,462.4736842105263,398.2916666666667
8.6,2,2,2,1.5,1,0,189,412.1785714285714,343.7333333333333
33.4,0,2,3,1.1,2,18,584,434.8157894736842,383.2745098039216
33.2,0,0,0,1.0,1,22,528,516.219512195122,369.9736842105263
3.2,4,0,6,1.0,1,2,138,508.2608695652174,428.28205128205127
23.0,2,0,2,1.0,1,0,270,417.1555555555556,500.0377358490566
14.4,3,0,1,1.0,2,20,223,382.9024390243902,474.77777777777777
34.8,0,1,5,2.2,0,9,1214,491.0857142857143,433.80555555555554
